startTime,value,keys,name
2024-04-16T12:00:00Z,3095.0,Biomass,bmrs _report
2024-04-16T12:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T12:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T12:00:00Z,417.0,Hydro Pumped Storage,bmrs _report
2024-04-16T12:00:00Z,657.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T12:30:00Z,3027.0,Biomass,bmrs _report
2024-04-16T12:30:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T12:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T12:30:00Z,456.0,Hydro Pumped Storage,bmrs _report
2024-04-16T12:30:00Z,546.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T13:00:00Z,2735.0,Biomass,bmrs _report
2024-04-16T13:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T13:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T13:00:00Z,220.0,Hydro Pumped Storage,bmrs _report
2024-04-16T13:00:00Z,463.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T13:30:00Z,2382.0,Biomass,bmrs _report
2024-04-16T13:30:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T13:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T13:30:00Z,177.0,Hydro Pumped Storage,bmrs _report
2024-04-16T13:30:00Z,562.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T14:00:00Z,1849.0,Biomass,bmrs _report
2024-04-16T14:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T14:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T14:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
